Authors,Year,Title,DOI,URL
"M. Z. Ahmad Nazri, T. B. Kurniawan, A. R. Hamdan, S. Abdullah and M. A. Mis",2018,Taxonomy development from malay text using firefly bisection algorithm,10.17576/gema-2018-1802-13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047940478&doi=10.17576%2fgema-2018-1802-13&partnerID=40&md5=ed75f80c34acaffff7afcd199d8734b5
"R. Anak Agung Putri, P. Prima Dewi, B. A. Adhi, F. A. Ekadiyanto, M. Salman, M. Mardiyah and W. Darien Jonathan",2017,Cross-Language Plagiarism Detection System Using Latent Semantic Analysis and Learning Vector Quantization,http://dx.doi.org/10.3390/a10020069,https://www.proquest.com/scholarly-journals/cross-language-plagiarism-detection-system-using/docview/1939941165/se-2?accountid=8330
"Y. Arifin, S. M. Isa, L. A. Wulandhari and E. Abdurachman",2018,Plagiarism Detection for Indonesian Language using Winnowing with Parallel Processing,http://dx.doi.org/10.1088/1742-6596/978/1/012082,https://iopscience.iop.org/article/10.1088/1742-6596/978/1/012082/meta
"D. E. Cahyani, R. Manurung and R. Mahendra",2016,Knowledge representation system for copula sentence in Bahasa Indonesia based on Web Ontology Language (OWL),10.1109/ICACSIS.2015.7415173,https://ieeexplore.ieee.org/document/7415173/
"D. Gunawan, F. Purnamasari, R. Ramadhiana and R. F. Rahmat",2020,Keyword extraction from scientific articles in bahasa indonesia using textrank algorithm,10.1109/ELTICOM50775.2020.9230514,https://ieeexplore.ieee.org/document/9230514/
"C. Halim, A. F. Wicaksono and M. Adriani",2018,Extracting disease-symptom relationships from health question and answer forum,10.1109/IALP.2017.8300552,https://ieeexplore.ieee.org/document/8300552/
S. N. Hidayatullah and Suyanto,2019,Developing an adaptive language model for Bahasa Indonesia,10.14569/IJACSA.2019.0100163,https://thesai.org/Publications/ViewPaper?Volume=10&Issue=1&Code=IJACSA&SerialNo=63
"A. A. Hutami, M. A. Bijaksana and A. A. Suryani",2019,Paraphrase construction of al quran in Indonesian language translation,10.1109/ICoICT.2019.8835303,https://ieeexplore.ieee.org/document/8835303/
E. Kasmuri and H. Basiron,2020,Segregation of Code-Switching Sentences using Rule-Based Technique,,http://www.i-csrs.org/Volumes/ijasca/4.%20p49_64_Segregation%20of%20Code-Switching%20Sentences.pdf
S. H. Lim and T. Halpin,2016,Automated verbalization of ORM models in Malay and Mandarin,10.4018/IJISMD.2016100101,https://www.igi-global.com/article/automated-verbalization-of-orm-models-in-malay-and-mandarin/178561
"N. Mohd Zakree Ahmad, K. Tri Basuki, H. Abdul Razak, S. Abdullah and M. A. Mis",2018,Pembangunan Taksonomi dari Teks Melayu Menggunakan Algoritma Kunang-Kunang Pembahagi Dua Sama (Taxonomy Development from Malay Text Using Firefly Bisection Algorithm),http://dx.doi.org/10.17576/gema-2018-1802-13,https://www.proquest.com/scholarly-journals/pembangunan-taksonomi-dari-teks-melayu/docview/2407350705/se-2?accountid=8330
"S. Novitasari, D. P. Lestari, S. Sakti and A. Purwarianti",2019,Rude-Words Detection for Indonesian Speech Using Support Vector Machine,10.1109/IALP.2018.8629145,https://ieeexplore.ieee.org/document/8629145/
N. R. Ramadhanti and S. Mariyah,2019,Document Similarity Detection Using Indonesian Language Word2vec Model,10.1109/ICICoS48119.2019.8982432,https://ieeexplore.ieee.org/document/8982432/
"J. Santoso, G. Gunawan, H. V. Gani, E. M. Yuniarno, M. Hariadi and M. H. Purnomo",2016,Noun phrases extraction using shallow parsing with C4.5 decision tree algorithm for Indonesian Language ontology building,10.1109/ISCIT.2015.7458329,https://ieeexplore.ieee.org/document/7458329/
"A. F. Syafiandini, H. F. Mustika, L. P. Manik, Y. Rianto and Z. Akbar",2019,Implementing Graph Based Rank on Online News Media Keyword Extraction,10.1109/IC3INA48034.2019.8949575,https://ieeexplore.ieee.org/document/8949575/
"M. Y. Abu Bakar, Adiwijaya and S. Al Faraby",2019,Multi-Label Topic Classification of Hadith of Bukhari (Indonesian Language Translation)Using Information Gain and Backpropagation Neural Network,10.1109/IALP.2018.8629263,https://ieeexplore.ieee.org/document/8629263/
"R. Adipradana, B. P. Nayoga, R. Suryadi and D. Suhartono",2021,Hoax analyzer for indonesian news using rnns with fasttext and glove embeddings,10.11591/eei.v10i4.2956,https://www.beei.org/index.php/EEI/article/view/2956
H. S. Al-Ash and W. C. Wibowo,2018,Fake news identification characteristics using named entity recognition and phrase detection,10.1109/ICITEED.2018.8534898,https://ieeexplore.ieee.org/document/8534898/
"I. Alfina, R. Mulia, M. I. Fanany and Y. Ekanata",2018,Hate speech detection in the Indonesian language: A dataset and preliminary study,10.1109/ICACSIS.2017.8355039,https://ieeexplore.ieee.org/document/8355039/
"R. Alfred, L. C. Leong and J. H. Obit",2017,An evolutionary-based term reduction approach to bilingual clustering of Malay-English corpora,10.1007/978-3-319-49073-1_16,https://link.springer.com/chapter/10.1007/978-3-319-49073-1_16
"R. Alfred, L. J. Ren and J. H. Obit",2016,Assessing factors that influence the performances of automated topic selection for Malay articles,10.1007/978-981-10-2777-2_27,https://link.springer.com/chapter/10.1007/978-981-10-2777-2_27
"N. Alias, N. A. Rahman, N. K. Ismail, Z. M. Nor and M. N. Alias",2017,Graph-based text representation for Malay translated hadith text,10.1109/INFRKM.2016.7806336,https://ieeexplore.ieee.org/abstract/document/7806336/authors#authors
"A. Amalia, O. S. Sitompul, E. B. Nababan and T. Mantoro",2020,A comparison study of document clustering using DOC2VEC versus TFIDF combined with LSA for small corpora,,http://www.jatit.org/volumes/Vol98No17/18Vol98No17.pdf
